Time period,Median,Min,Max
00:30,6019.03944933187,5269.134386193304,6678.018572929142
01:00,5897.082365280493,5168.093941624345,6549.4463851028
01:30,5797.8913228279725,5097.439368366155,6422.428129735519
02:00,5723.881862121038,5051.740659140891,6345.592828469238
02:30,5667.328303754618,5012.713303314616,6309.812230308156
03:00,5610.829787122671,4971.40879978082,6247.248382556688
03:30,5571.260038827311,4953.602649970435,6190.657820296503
04:00,5542.37345308838,4933.552278497726,6148.515292600913
04:30,5532.2886239699965,4936.139392550722,6130.918162042641
05:00,5539.471981663412,4964.341765105525,6119.252670437829
05:30,5596.995432226565,5027.567272411569,6164.117551785211
06:00,5689.571213391113,5076.283728551971,6234.749794692927
06:30,5879.360684682885,5190.08733284668,6424.1296235997115
07:00,6031.755102791064,5248.696545786945,6564.6345885728715
07:30,6198.269906660169,5318.937423101399,6695.447541172695
08:00,6393.887250995279,5381.983292585723,6913.1136707109945
08:30,6646.110722759877,5534.1715271929215,7209.260975295688
09:00,6809.22577387886,5611.38359604329,7397.473091837565
09:30,6924.0646819062,5637.35090217937,7546.813751983505
10:00,6994.3412124031665,5732.511283750543,7648.526624666878
10:30,7079.839485797528,5800.0237201190785,7726.985930846619
11:00,7112.413254986971,5826.23004601264,7806.857553293455
11:30,7143.305193828401,5836.0792394373975,7795.5976201405065
12:00,7124.082467522791,5823.5451236105655,7789.3317069783525
12:30,7073.706899538568,5786.861524040527,7750.316771132538
13:00,7053.3334548136345,5765.601775668948,7718.272960198572
13:30,7100.27402337864,5786.929137020126,7772.103146610783
14:00,7136.815423388134,5810.74474118354,7782.738907016871
14:30,7149.532920769035,5793.255317515183,7861.177495026314
15:00,7127.756734635686,5743.554119835072,7824.2031817450525
15:30,7101.633969918626,5722.007345616311,7784.024204492738
16:00,7094.386251019149,5701.266854448251,7781.104731465393
16:30,7093.251733491219,5698.08910536729,7796.541458411454
17:00,7084.8149750317325,5696.314313297789,7771.428985279136
17:30,7062.094134289,5717.762497161457,7746.274160618484
18:00,7013.695396613221,5747.409813532714,7667.217864259181
18:30,6907.754398340926,5773.7817169045675,7552.023764242891
19:00,6901.51008576958,5835.814234849717,7492.752712636994
19:30,6903.512192947047,5912.595141630043,7497.713298000203
20:00,6897.660780536569,5947.172288174104,7492.893036239689
20:30,6856.115386082625,5957.375767564016,7493.871999530161
21:00,6821.585193420683,5944.898778260364,7485.768946612951
21:30,6762.985540865065,5933.724942334525,7460.541261845974
22:00,6673.434309857862,5866.793308335232,7394.265448195801
22:30,6526.612226588277,5728.622642209202,7212.780544982365
23:00,6402.603145928552,5606.87507795762,7102.926080788848
23:30,6266.20548819931,5493.8492825385265,6953.649552967386
00:00,6149.022443799092,5388.169794978292,6832.177872630479
